,root,virality,volume
175,"['1008358606033620992', '1008363253880238080']",25.0,5
176,"['1008358739689254919', '1008358744315629569']",1.0,1
177,"['1008358016306044928', '1008358775621869577']",1.0,1
178,"['1008357805789798401', '1008358781678444544']",1.0,1
179,"['1008363261866184704', '1008363686304641025']",1.0,1
180,"['1008358403620646913', '1008359387491168256']",1.0,1
181,"['1008358855837794306', '1008364429501698050']",49.0,7
182,"['1008357551497465856', '1008360054704271360']",4.0,2
183,"['1008366997896417280', '1008368636564836352']",25.0,5
184,"['1008359075162226688', '1008368736590589953']",16.0,4
185,"['1008367905619267589', '1008368744610123781']",10.0,4
186,"['1008357913843335168', '1008360159675060224']",1.0,1
187,"['1008357858818383872', '1008365661834350592']",81.0,9
188,"['1008359199594700805', '1008360318182051842']",81.0,9
189,"['1008360714224984065', '1008360840804880385']",1.0,1
190,"['1008359436195332096', '1008360844806246404']",10.0,4
191,"['1008362245930156033', '1008363356405682178']",1.0,1
192,"['1008359127142322176', '1008359534593703936']",1.0,1
193,"['1008358855837794306', '1008364429501698050']",49.0,7
194,"['1008359075162226688', '1008368736590589953']",16.0,4
195,"['1008359404503289856', '1008359722007883776']",1.0,1
196,"['1008358855837794306', '1008364429501698050']",49.0,7
197,"['1008357084101009409', '1008357578223570944']",1.0,1
198,"['1008357303307907074', '1008357600675680256']",10.0,4
199,"['1008356866189955073', '1008357619692494848']",1.0,1
200,"['1008358855837794306', '1008364429501698050']",49.0,7
201,"['1008358944660770817', '1008358947932246016']",1.0,1
202,"['1008357358907592704', '1008358947861024768']",1.0,1
203,"['1008358106731106306', '1008365925094100993']",9.0,3
204,"['1008364084474142721', '1008364242511286272']",1.0,1
205,"['1008368040621363200', '1008368653220438016']",4.0,2
206,"['1008364596170756096', '1008368670693888000']",1.0,1
207,"['1008357170553999361', '1008363894237224961']",1.0,1
208,"['1008362835678724098', '1008363900146995203']",4.0,2
209,"['1008362395478167555', '1008363912931266561']",4.0,2
210,"['1008363585246937089', '1008363932325699584']",1.0,1
211,"['1008367420833173504', '1008367736320389120']",1.0,1
212,"['1008363991922626560', '1008364431468826625']",1.0,1
213,"['1008363827090640898', '1008364443980455937']",35.0,23
214,"['1008363302525849600', '1008364451114962944']",1.0,1
215,"['1008363958095532033', '1008364462443724801']",1.0,1
216,"['1008363209978413057', '1008367966407331840']",1.0,1
217,"['1008367129253433349', '1008367973852164096']",1.0,1
218,"['1008367468417437697', '1008367976075030530']",4.0,2
219,"['1008362331015991296', '1008362720763236352']",1.0,1
220,"['1008358606033620992', '1008363253880238080']",25.0,5
221,"['1008363208036503553', '1008364039934750720']",1.0,1
222,"['1008367245809061888', '1008367608087896069']",4.0,2
223,"['1008361730672680961', '1008367639645884416']",4.0,2
224,"['1008366550427095041', '1008367269842489353']",1.0,1
225,"['1008366820011708416', '1008367273504051200']",1.0,1
226,"['1008367048936828938', '1008367278168174592']",1.0,1
227,"['1008363037378695169', '1008363283877912576']",1.0,1
228,"['1008357004501487617', '1008362518933209088']",1.0,1
229,"['1008364038387064833', '1008364641066672129']",16.0,4
230,"['1008364224358297600', '1008366659407630337']",1.0,1
231,"['1008363768231989248', '1008366967143714821']",144.0,12
232,"['1008361182770626560', '1008366523063459841']",1.0,1
233,"['1008365000103211008', '1008366608878850048']",9.0,3
234,"['1008364482903658496', '1008366546446626816']",1.0,1
235,"['1008365332900319232', '1008366047509078016']",1.0,1
236,"['1008365821788221445', '1008366061534654464']",1.0,1
237,"['1008361052218720256', '1008366061077565440']",1.0,1
238,"['1008364592613949441', '1008366066991550464']",1.0,1
239,"['1008366004496420865', '1008366067993980928']",4.0,2
240,"['1008361292766302211', '1008366073249456129']",4.0,2
241,"['1008356631430795264', '1008366079817613314']",1.0,1
242,"['1008362864137134080', '1008363082307944448']",1.0,1
243,"['1008361888135204864', '1008362389002047488']",1.0,1
244,"['1008361152353431552', '1008362393192271872']",1.0,1
245,"['1008362619563061248', '1008364341408751618']",1.0,1
246,"['1008363365327101952', '1008364348992053248']",20.0,9
247,"['1008362835678724098', '1008363900146995203']",4.0,2
248,"['1008363680524853249', '1008363979490684928']",25.0,5
249,"['1008356780181721088', '1008363802205835264']",1.0,1
250,"['1008363196187471872', '1008363805892460544']",1.0,1
251,"['1008363479777017857', '1008363811202584577']",1.0,1
252,"['1008363454296743937', '1008363823517126656']",1.0,1
253,"['1008360743190827008', '1008363612187119616']",10.0,4
254,"['1008362571894788096', '1008363615471198208']",1.0,1
255,"['1008361965838831616', '1008363623041896449']",4.0,2
256,"['1008365929615515648', '1008368537889640448']",1.0,1
257,"['1008365411988013057', '1008366851766681600']",100.0,10
258,"['1008362844562382854', '1008362948778254336']",1.0,1
259,"['1008362442152398848', '1008362951420542977']",1.0,1
260,"['1008360188171227137', '1008362955665264640']",1.0,1
261,"['1008362774014119938', '1008362965182173184']",1.0,1
262,"['1008363682341052419', '1008365022265913345']",1.0,1
263,"['1008364761107582976', '1008365024983830531']",1.0,1
264,"['1008362253781958657', '1008365030637596673']",1.0,1
265,"['1008364281325412352', '1008365036761436161']",153.0,628
266,"['1008364068451651584', '1008365039210901504']",16.0,4
267,"['1008364856725123075', '1008365685540638720']",1.0,1
268,"['1008364123007090691', '1008365689130930177']",286.0,23714
269,"['1008363768231989248', '1008366967143714821']",144.0,12
270,"['1008365411988013057', '1008366851766681600']",100.0,10
271,"['1008364565023911936', '1008365566275608576']",1.0,1
272,"['1008364038387064833', '1008364641066672129']",16.0,4
273,"['1008363086754009088', '1008364777691865088']",1.0,1
274,"['1008364454973792256', '1008367020751147008']",1.0,1
275,"['1008363768231989248', '1008366967143714821']",144.0,12
276,"['1008365893389307906', '1008367036119113734']",1.0,1
277,"['1008361538619609090', '1008367040611135488']",1.0,1
278,"['1008366342024646659', '1008366850168840194']",4.0,2
279,"['1008358606033620992', '1008363253880238080']",25.0,5
280,"['1008364849477320704', '1008366408969932806']",1.0,1
281,"['1008363599566434304', '1008366418306457601']",1.0,1
282,"['1008364293660860416', '1008366423532503041']",1.0,1
283,"['1008366608681717760', '1008366880229388288']",1.0,1
284,"['1008366050772160514', '1008366886587912192']",1.0,1
285,"['1008368081423536128', '1008368856556064768']",1.0,1
286,"['1008368506428063744', '1008368868253929472']",1.0,1
287,"['1008368532382363648', '1008368875556126721']",1.0,1
288,"['1008360757707149312', '1008362620473303042']",1.0,1
289,"['1008361868073881600', '1008362629637787649']",1.0,1
290,"['1008362296412901376', '1008362632947040256']",1.0,1
291,"['1008360338654261250', '1008362635157311488']",1.0,1
292,"['1008362046113701889', '1008366163171201024']",1.0,1
293,"['1008365880282107910', '1008366172499308550']",1.0,1
294,"['1008364131114766336', '1008367393993887744']",10.0,3
295,"['1008366985795817472', '1008367401967202305']",1.0,1
296,"['1008364306868654080', '1008367408397144066']",1.0,1
297,"['1008367418752847872', '1008368320545021954']",1.0,1
298,"['1008367124157431809', '1008367592724049922']",49.0,7
299,"['1008366326384087041', '1008368337410232321']",1.0,1
300,"['1008364064504975361', '1008368348764295168']",4.0,2
301,"['1008365118948814849', '1008368351708577793']",10.0,4
302,"['1008357571646849027', '1008359926148878336']",1.0,1
303,"['1008359083513204738', '1008359930867404800']",1.0,1
304,"['1008366580181422080', '1008367514529738753']",1.0,1
305,"['1008363897236180995', '1008367517629341696']",4.0,2
306,"['1008358397949894656', '1008367520405811200']",1.0,1
307,"['1008365362646212608', '1008367520183549952']",56.0,65
308,"['1008366462736756736', '1008367528278659072']",4.0,2
309,"['1008356906312912896', '1008358633405669376']",1.0,1
310,"['1008357858818383872', '1008365661834350592']",81.0,9
311,"['1008357639955283968', '1008358653118812161']",1.0,1
312,"['1008358519643496448', '1008358681271037953']",1.0,1
313,"['1008361759248445442', '1008362565888630784']",9.0,3
314,"['1008362308408668160', '1008362835305525250']",1.0,1
315,"['1008364454030069761', '1008365927908433923']",1.0,1
316,"['1008365000103211008', '1008366608878850048']",9.0,3
317,"['1008365683766382592', '1008365932782252032']",1.0,1
318,"['1008365274616221696', '1008365934107652096']",1.0,1
319,"['1008363266744225792', '1008365935521075202']",4.0,2
320,"['1008365853933473793', '1008366727707680768']",16.0,4
321,"['1008365932698394624', '1008365937643413505']",4.0,2
322,"['1008365950872309760', '1008365953225289729']",1.0,1
323,"['1008362605516328962', '1008363170019332096']",1.0,1
324,"['1008362481704689675', '1008364083576561665']",9.0,3
325,"['1008367124157431809', '1008367592724049922']",49.0,7
326,"['1008366560833130496', '1008367178092044289']",1.0,1
327,"['1008365844718604290', '1008367182403854338']",1.0,1
328,"['1008365853933473793', '1008366727707680768']",16.0,4
329,"['1008365853862256640', '1008366759974440960']",1.0,1
330,"['1008364291530117123', '1008366764336480256']",1.0,1
331,"['1008367370329616385', '1008368215364440064']",1.0,1
332,"['1008366997896417280', '1008368636564836352']",25.0,5
333,"['1008366483867611139', '1008368227808956416']",1.0,1
334,"['1008364073728299015', '1008364905181908992']",1.0,1
335,"['1008359312115236869', '1008362277634916353']",1.0,1
336,"['1008367955586019328', '1008368434139279360']",1.0,1
337,"['1008367751776227328', '1008368435502317568']",1.0,1
338,"['1008360074891419649', '1008365543274045441']",100.0,10
339,"['1008366431279468546', '1008367830578823168']",9.0,3
340,"['1008367636634206209', '1008368451079901184']",1.0,1
341,"['1008363274377875456', '1008364539950268416']",1.0,1
342,"['1008363796790996993', '1008364537937002497']",4.0,2
343,"['1008364071983419392', '1008364555016159233']",1.0,1
344,"['1008361938362003456', '1008366286567624704']",10.0,4
345,"['1008365411988013057', '1008366851766681600']",100.0,10
346,"['1008365638136496128', '1008366288505376768']",1.0,1
347,"['1008365405864386560', '1008366291093204993']",1.0,1
348,"['1008361292040687616', '1008366292863156224']",1.0,1
349,"['1008364068451651584', '1008365039210901504']",16.0,4
350,"['1008363768231989248', '1008366967143714821']",144.0,12
351,"['1008365079530803202', '1008365277640355846']",1.0,1
352,"['1008365048690102272', '1008365288511954944']",1.0,1
353,"['1008363768231989248', '1008366967143714821']",144.0,12
354,"['1008360019065229317', '1008361163866984449']",1.0,1
